"Name","Location","Function Signature","Function Size"
"FUN_08017cd8","08017cd8","undefined FUN_08017cd8()","18"
"FUN_08017cf4","08017cf4","undefined FUN_08017cf4()","98"
"FUN_08017d58","08017d58","undefined FUN_08017d58()","28"
"FUN_08017d78","08017d78","undefined FUN_08017d78()","86"
"FUN_08017de8","08017de8","undefined FUN_08017de8()","90"
"FUN_08017e5c","08017e5c","undefined FUN_08017e5c()","90"
"FUN_08017ed0","08017ed0","undefined FUN_08017ed0()","16"
"FUN_08017eec","08017eec","undefined FUN_08017eec()","12"
"FUN_08017f00","08017f00","undefined FUN_08017f00()","44"
"FUN_08017f34","08017f34","undefined FUN_08017f34()","28"
"FUN_08017f58","08017f58","undefined FUN_08017f58()","10"
"FUN_08017f6c","08017f6c","undefined FUN_08017f6c()","10"
"FUN_08017f80","08017f80","undefined FUN_08017f80()","44"
"FUN_08017fb0","08017fb0","undefined FUN_08017fb0()","72"
"FUN_08018004","08018004","undefined FUN_08018004(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 param_8\, undefined4 param_9)","128"
"FUN_0801808c","0801808c","undefined FUN_0801808c()","68"
"FUN_080180d4","080180d4","undefined FUN_080180d4()","22"
"FUN_080180f0","080180f0","undefined FUN_080180f0()","118"
"FUN_0801816c","0801816c","undefined FUN_0801816c()","134"
"FUN_08018204","08018204","undefined FUN_08018204()","62"
"FUN_0801824c","0801824c","undefined FUN_0801824c()","78"
"FUN_080182ac","080182ac","undefined FUN_080182ac()","44"
"FUN_080182e4","080182e4","undefined FUN_080182e4()","22"
"FUN_08018300","08018300","undefined FUN_08018300()","18"
"FUN_08018318","08018318","undefined FUN_08018318()","100"
"FUN_08018390","08018390","undefined FUN_08018390()","8"
"FUN_0801839c","0801839c","undefined FUN_0801839c()","30"
"FUN_080183d0","080183d0","undefined FUN_080183d0(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined4 param_6)","54"
"FUN_08018444","08018444","undefined FUN_08018444()","102"
"FUN_080184c8","080184c8","undefined FUN_080184c8()","60"
"FUN_08018530","08018530","undefined FUN_08018530()","52"
"FUN_0801856c","0801856c","undefined FUN_0801856c()","46"
"FUN_08018654","08018654","undefined FUN_08018654()","14"
"FUN_08018678","08018678","undefined FUN_08018678()","150"
"FUN_08018730","08018730","undefined FUN_08018730()","276"
"FUN_0801886c","0801886c","undefined FUN_0801886c()","158"
"FUN_08018918","08018918","undefined FUN_08018918()","354"
"FUN_08018a8c","08018a8c","undefined FUN_08018a8c()","124"
"FUN_08018b24","08018b24","undefined FUN_08018b24()","224"
"FUN_08018c20","08018c20","undefined FUN_08018c20()","22"
"FUN_08018c3c","08018c3c","undefined FUN_08018c3c()","52"
"FUN_08018c8c","08018c8c","undefined FUN_08018c8c()","1140"
"FUN_080191a8","080191a8","undefined FUN_080191a8()","92"
"FUN_08019220","08019220","undefined FUN_08019220()","68"
"FUN_08019274","08019274","undefined FUN_08019274(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","242"
"FUN_080193b4","080193b4","undefined FUN_080193b4()","256"
"FUN_080194d0","080194d0","undefined FUN_080194d0()","44"
"FUN_0801950c","0801950c","undefined FUN_0801950c()","18"
"FUN_08019520","08019520","undefined FUN_08019520()","64"
"FUN_08019568","08019568","undefined FUN_08019568()","384"
"FUN_0801974c","0801974c","undefined FUN_0801974c()","146"
"FUN_08019814","08019814","undefined FUN_08019814()","122"
"FUN_080198b0","080198b0","undefined FUN_080198b0()","594"
"FUN_08019b5c","08019b5c","undefined FUN_08019b5c()","760"
"FUN_08019ed8","08019ed8","undefined FUN_08019ed8()","232"
"FUN_0801a04c","0801a04c","undefined FUN_0801a04c()","382"
"FUN_0801a228","0801a228","undefined FUN_0801a228()","994"
"FUN_0801a61c","0801a61c","undefined FUN_0801a61c()","122"
"FUN_0801a6a8","0801a6a8","undefined FUN_0801a6a8()","354"
"FUN_0801aadc","0801aadc","undefined FUN_0801aadc()","140"
"FUN_0801b394","0801b394","undefined FUN_0801b394()","1976"
"FUN_0801bcac","0801bcac","undefined FUN_0801bcac()","200"
"FUN_0801c090","0801c090","undefined FUN_0801c090()","428"
"FUN_0801c770","0801c770","undefined FUN_0801c770()","170"
"FUN_0801c85c","0801c85c","undefined FUN_0801c85c()","70"
"FUN_0801c968","0801c968","undefined FUN_0801c968()","1096"
"FUN_0801ce70","0801ce70","undefined FUN_0801ce70()","22"
"FUN_0801ce8c","0801ce8c","undefined FUN_0801ce8c()","88"
"FUN_0801cfc8","0801cfc8","undefined FUN_0801cfc8()","146"
"FUN_0801d068","0801d068","undefined FUN_0801d068()","264"
"FUN_0801d188","0801d188","undefined FUN_0801d188()","110"
"FUN_0801d200","0801d200","undefined FUN_0801d200()","126"
"FUN_0801d288","0801d288","undefined FUN_0801d288()","202"
"FUN_0801d408","0801d408","undefined FUN_0801d408()","356"
"FUN_0801d5d4","0801d5d4","undefined FUN_0801d5d4()","58"
"FUN_0801d870","0801d870","undefined FUN_0801d870()","108"
"FUN_0801d9e0","0801d9e0","undefined FUN_0801d9e0()","194"
"FUN_0801db4c","0801db4c","undefined FUN_0801db4c()","108"
"FUN_0801dbd0","0801dbd0","undefined FUN_0801dbd0()","504"
"FUN_0801de5c","0801de5c","undefined FUN_0801de5c()","80"
"FUN_0801debc","0801debc","undefined FUN_0801debc()","80"
"FUN_0801df1c","0801df1c","undefined FUN_0801df1c()","80"
"FUN_0801df7c","0801df7c","undefined FUN_0801df7c()","80"
"FUN_0801e0c4","0801e0c4","undefined FUN_0801e0c4()","140"
"FUN_0801e2c8","0801e2c8","undefined FUN_0801e2c8()","108"
"FUN_0801e3cc","0801e3cc","undefined FUN_0801e3cc()","64"
"FUN_0801e62c","0801e62c","undefined FUN_0801e62c()","98"
"FUN_0801e6a0","0801e6a0","undefined FUN_0801e6a0()","662"
"FUN_0801e99c","0801e99c","undefined FUN_0801e99c()","68"
"FUN_0801e9ec","0801e9ec","undefined FUN_0801e9ec()","60"
"FUN_0801eb50","0801eb50","undefined FUN_0801eb50()","52"
"FUN_0801ebb0","0801ebb0","undefined FUN_0801ebb0()","52"
"FUN_0801ec10","0801ec10","undefined FUN_0801ec10()","66"
"FUN_0801ec64","0801ec64","undefined FUN_0801ec64()","66"
"FUN_0801ecb8","0801ecb8","undefined FUN_0801ecb8()","66"
"FUN_0801ed0c","0801ed0c","undefined FUN_0801ed0c()","52"
"FUN_0801ed6c","0801ed6c","undefined FUN_0801ed6c()","66"
"FUN_0801eddc","0801eddc","undefined FUN_0801eddc()","66"
"FUN_0801ee4c","0801ee4c","undefined FUN_0801ee4c()","70"
"FUN_0801eee0","0801eee0","undefined FUN_0801eee0()","40"
"FUN_0801f024","0801f024","undefined FUN_0801f024()","6"
"FUN_0801f128","0801f128","undefined FUN_0801f128()","154"
"FUN_0801f274","0801f274","undefined FUN_0801f274()","134"
"FUN_0801f308","0801f308","undefined FUN_0801f308()","18"
"FUN_0801f524","0801f524","undefined FUN_0801f524()","76"
"FUN_0801f578","0801f578","undefined FUN_0801f578()","108"
"FUN_0801f5ec","0801f5ec","undefined FUN_0801f5ec()","16"
"FUN_0801f600","0801f600","undefined FUN_0801f600()","10"
"FUN_0801f60c","0801f60c","undefined FUN_0801f60c()","10"
"FUN_0801f618","0801f618","undefined FUN_0801f618()","14"
